Sezóna,Pohlaví,Kraj,Kategorie,Počet hráčů,Počet skokanů 800,Počet skokanů 1200,Počet skokanů 1600,Počet skokanů 2000
2025,Z,KSST Liberecký,dospělí,52,29,10,,
2025,Z,KSST Olomoucký,dospělí,67,45,22,3,
2025,Z,KSST Pardubický,dospělí,57,40,30,2,
2025,Z,KSST Plzeňský,dospělí,86,50,23,5,
2025,Z,KSST Vysočina,dospělí,79,48,28,9,2
2025,Z,KSST Zlínský,dospělí,52,21,14,2,
2025,Z,KSST Ústecký,dospělí,70,49,31,10,
2025,Z,Moravskoslezský SST,dospělí,111,67,41,16,1
2025,Z,Pražský SST,dospělí,143,124,70,18,
2025,Z,Středočeský SST,dospělí,223,115,63,15,
2026,M,KSST Jihomoravský,dospělí,2174,1686,1134,338,25
2026,M,KSST Jihočeský,dospělí,1197,988,689,135,11
2026,M,KSST Karlovarský,dospělí,212,189,144,41,8
2026,M,KSST Kralovéhradecký,dospělí,1235,1003,708,180,17
2026,M,KSST Liberecký,dospělí,713,559,320,99,7
2026,M,KSST Olomoucký,dospělí,869,726,564,181,3
2026,M,KSST Pardubický,dospělí,813,657,493,132,7
2026,M,KSST Plzeňský,dospělí,970,782,570,161,6
2026,M,KSST Vysočina,dospělí,1370,1122,676,160,10
2026,M,KSST Zlínský,dospělí,985,766,531,147,7
2026,M,KSST Ústecký,dospělí,1073,869,619,136,10
2026,M,Moravskoslezský SST,dospělí,1387,1113,839,303,34
2026,M,Pražský SST,dospělí,980,848,690,255,32
2026,M,Středočeský SST,dospělí,2789,2121,1326,292,4
2026,Z,KSST Jihomoravský,dospělí,189,103,54,24,7
2026,Z,KSST Jihočeský,dospělí,85,53,31,2,
2026,Z,KSST Karlovarský,dospělí,22,16,4,,
2026,Z,KSST Kralovéhradecký,dospělí,108,70,40,14,1
2026,Z,KSST Liberecký,dospělí,46,33,11,,
2026,Z,KSST Olomoucký,dospělí,66,49,26,6,
2026,Z,KSST Pardubický,dospělí,63,39,32,4,
2026,Z,KSST Plzeňský,dospělí,95,58,28,6,
2026,Z,KSST Vysočina,dospělí,86,53,26,8,2
2026,Z,KSST Zlínský,dospělí,56,29,14,,
2026,Z,KSST Ústecký,dospělí,77,53,32,11,
2026,Z,Moravskoslezský SST,dospělí,106,74,44,16,3
2026,Z,Pražský SST,dospělí,143,122,73,21,
2026,Z,Středočeský SST,dospělí,239,133,64,13,
